nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
505.28393336704835,513.3301253545857,503.25254058837925,499.94127963838196,517.1638212658113,489.08654585338826,526.607244037447,501.11175736926896,530.9572336106079,524.2486877441411,544.6577715192527,492.0952190217519,517.3827932448618,477.75135258265954,543.9066034952805,458.69397036234585,550.6047555832639,754.9829897199364,753.9749563307997,754.6661758422856,760.5658140636635,758.5044177827388,784.7751888093502,787.9578377859939,797.3544298807788,808.5376950218573,783.8247833251959,875.0593367077065,844.531424749466,844.5950669788186,874.5510322934113,880.3550883701877,902.5152271815717,935.5902030581525
508.5006561279301,513.0879914419997,503.2525405883792,500.2761775425509,517.1771681649348,489.87045288085983,527.228270394462,495.1645436968127,531.989129202707,524.248687744141,541.1210229056227,493.16622652326333,518.9095726013187,478.20366941179594,543.926633562361,457.6624450683598,550.4222172328408,757.4272842407233,753.2692664010192,754.6661758422856,759.054106576103,757.2053625924253,783.311219351633,785.2030726841525,800.706060682025,808.6689000810904,783.824783325196,860.5400652204249,842.6560767037536,843.1064333234522,874.7740533011307,876.9940272739964,904.999177115305,930.7879562377937
513.3257402692526,512.9170733860566,503.25254058837913,500.8071566990449,517.6236032758444,490.8016242980961,528.0576384408138,491.30622863769577,533.2429602486751,524.2486877441409,538.6280332292835,494.27649361746677,520.3470867701942,479.1244610377725,544.6478238786974,457.6563532693049,551.0706710815434,761.0937260219035,752.7711323329388,754.6661758422856,757.6905702863429,755.9860164097383,782.0629114423485,782.9895161220013,802.7133298601431,807.8518736703063,783.8247833251961,847.3645401000985,841.0559365408768,841.7175685337619,874.567977905274,874.1630347115662,906.184866768974,926.7310464041582
519.7591857910159,512.8173711867562,503.25254058837913,501.5342171078638,518.5031265985401,491.88006010509696,529.0953481765023,489.536812191918,534.7187267485122,524.2486877441409,537.1788024902346,495.4260203043622,521.6953357514883,480.51372746058894,546.0701744442897,458.6756949651811,552.5501171293715,765.9823150634768,752.4805541265582,754.6661758422854,756.4752051943826,754.8463792346777,781.0302650814967,781.3171680995399,803.3762374151324,806.0866157895045,783.8247833251955,835.5327613467266,839.7310042608356,840.4284726097474,873.9328061058411,871.8621106828966,906.0722961425786,923.4194735572455
531.0177154541018,512.8743438720705,,502.73352850051174,520.1490852719264,493.3143154325941,530.7906715756372,492.25284503755137,536.7649158296133,524.2486877441409,539.4923204694478,497.0169452485586,523.4016273135232,482.8392413911367,548.7490416027252,461.57566688174313,555.1175355457126,776.884564717611,752.6465988159184,,754.8864484514513,753.512271336147,780.0765678769069,779.7909153529579,800.8165664672854,803.7557155064177,783.8247833251955,847.4297826857796,838.4183167957128,839.1516389392675,872.5537741524836,869.5007418677924,903.5632048107332,919.8815649123424
540.6678837367468,,,503.48697589692637,521.7317097981772,494.4677730741957,532.1701264154345,493.33999452136834,538.3239520844961,,538.5951236543203,497.8833349318733,524.4391668410531,485.0501265752885,551.2522074381513,464.37286068144317,557.726995558966,780.6966200329011,,,754.1744453793483,752.5715695335755,779.6065343221032,779.423377990723,799.845881870815,798.3041254679365,,833.1612519763768,837.6077335902626,838.1307598295668,870.6365530831476,868.5947883242657,900.7661423456105,918.2046486990796
545.4929678780694,,,504.4716095697314,522.7567334856308,495.414263770694,533.0394501459033,493.68518429710775,539.444283621652,,535.7840663364957,498.82359713599817,524.8973257882257,486.3384319487074,552.997268676758,466.4602430434456,560.572454543341,777.3214053199408,,,754.0402882893884,752.1280575706849,779.3406648181737,779.6345817929225,799.9377183460058,797.6182672409788,,802.5355649675646,837.4518803187782,837.3874562581384,870.2361203148255,867.9803488595148,899.780646914528,918.7969120570596
544.6197240920296,,,505.5045943487261,523.8582095191593,496.3646036783856,533.6240968250095,497.95995621454165,540.6782844180154,,540.2256080990749,499.72213091169107,525.2016921270464,488.05254000709186,554.2550506591799,467.61377425420875,563.1788097563247,766.9172450474334,,,754.0464128766745,752.0350189208988,779.0437850952151,779.9257707141697,800.1630855741957,800.4684586297901,,811.46671694801,837.3347429547995,836.4446026030045,869.5224413190573,867.9419868105938,899.6653100876584,919.117854527065
540.7275968279159,520.8172149658205,512.4367548624678,506.79058983212445,524.7968012491865,497.46135893322196,534.4631307692757,500.16615586053774,541.4280351911275,,540.6181687854587,500.7792892456057,526.1967664446152,489.6129655383884,555.1871599469869,469.717298780169,566.3616776239307,759.4534890311108,752.3165308634443,754.598175412133,754.0562925792879,752.4347908383327,779.124759855725,780.7781517392116,801.2941622052876,806.1320517403742,,817.8632954188759,837.1138959612169,836.6262948172437,869.2545078822549,868.2773335774743,899.3731682187038,919.6636345272976
534.2359117780414,524.0508357456754,516.3254238310317,508.54574294317354,525.7219296409972,499.01603589739136,535.8192254929318,504.839668273926,542.1724679129467,,540.7208677019394,501.84731983003184,527.7370932442803,491.987491426014,555.7381504603796,471.53385816301636,570.1256357828779,754.9288973127096,752.3310132707871,754.4876747131351,754.4027110508514,753.170682997931,779.4513491675971,781.5421949114121,802.0805224464057,814.6872950962616,,827.9262419201082,837.6231202625097,837.1728370303204,868.968664260138,868.4855339413601,899.9569992792042,919.4967724028091
